Timestamp,Success,Duration_Seconds,Order_Count,Enhanced_Order_Count,Config_Source,Sheets_Integration,System_URL,Automation_Version,Error,Start_Time,End_Time,Export_Files,Platform,Notes
2025-11-30 22:36:01,TRUE,12.5,25,23,google_sheets,TRUE,unknown,2.1_verified,,2025-11-30 22:36:01,2025-11-30 22:36:01,{},multiple,Enhanced automation run
2025-11-26 05:02:04,TRUE,15.8,35,30,google_sheets,TRUE,unknown,2.1_enhanced,,2025-07-17 14:30:00,2025-07-17 14:45:48,{},multiple,Enhanced automation run
2025-11-26 04:59:16,TRUE,12.5,25,23,google_sheets,TRUE,unknown,2.1_verified,,2025-11-26 04:59:15,2025-11-26 04:59:15,{},multiple,Enhanced automation run
2025-11-26 04:58:16,TRUE,12.5,25,23,google_sheets,TRUE,unknown,2.1_verified,,2025-11-26 04:58:15,2025-11-26 04:58:15,{},multiple,Enhanced automation run
2025-11-26 04:57:25,TRUE,15.8,35,30,google_sheets,TRUE,unknown,2.1_enhanced,,2025-07-17 14:30:00,2025-07-17 14:45:48,{},multiple,Enhanced automation run
2025-11-26 04:00:18,TRUE,15.8,35,30,google_sheets,TRUE,unknown,2.1_enhanced,,2025-07-17 14:30:00,2025-07-17 14:45:48,{},multiple,Enhanced automation run
2025-11-26 03:49:07,TRUE,26.70802,250,240,google_sheets,TRUE,https://one.tga.com.vn,2.1_enhanced,,2025-11-26 03:48:39,2025-11-26 03:49:06,"{'orders_csv': 'data/orders_enhanced.csv', 'products_json': 'data/products_enhanced.json', 'summary_xlsx': 'data/automation_summary.xlsx'}",multiple,Enhanced automation run
2025-11-26 03:39:16,TRUE,12.5,25,23,google_sheets,TRUE,unknown,2.1_verified,,2025-11-26 03:39:16,2025-11-26 03:39:16,{},multiple,Enhanced automation run
2025-11-26 03:37:22,TRUE,0,0,0,verification_test,TRUE,verification_test,2.1_verification,,2025-11-26 03:37:21,2025-11-26 03:37:21,{'verification': 'sheets_verification_complete.json'},multiple,Enhanced automation run
2025-11-26 03:37:10,TRUE,25.6,45,42,google_sheets,TRUE,https://one.tga.com.vn,2.1_verified,,2025-11-26 03:37:10,2025-11-26 03:37:10,"{'csv': 'orders_verified.csv', 'json': 'products_verified.json'}",multiple,Enhanced automation run
2025-11-26 03:33:48,TRUE,12.5,25,23,google_sheets,TRUE,unknown,2.1_verified,,2025-11-26 03:33:47,2025-11-26 03:33:47,{},multiple,Enhanced automation run
2025-11-23 18:17:59,TRUE,12.5,25,23,google_sheets,TRUE,unknown,2.1_verified,,2025-11-23 18:17:59,2025-11-23 18:17:59,{},multiple,Enhanced automation run
2025-11-23 18:17:06,TRUE,0,0,0,verification_test,TRUE,verification_test,2.1_verification,,2025-11-23 18:17:05,2025-11-23 18:17:05,{'verification': 'sheets_verification_complete.json'},multiple,Enhanced automation run
2025-11-23 18:16:55,TRUE,25.6,45,42,google_sheets,TRUE,https://one.tga.com.vn,2.1_verified,,2025-11-23 18:16:54,2025-11-23 18:16:54,"{'csv': 'orders_verified.csv', 'json': 'products_verified.json'}",multiple,Enhanced automation run
2025-11-23 18:04:09,TRUE,12.5,25,23,google_sheets,TRUE,unknown,2.1_verified,,2025-11-23 18:04:09,2025-11-23 18:04:09,{},multiple,Enhanced automation run
2025-11-23 18:03:10,TRUE,0,0,0,verification_test,TRUE,verification_test,2.1_verification,,2025-11-23 18:03:10,2025-11-23 18:03:10,{'verification': 'sheets_verification_complete.json'},multiple,Enhanced automation run
2025-11-23 18:03:00,TRUE,25.6,45,42,google_sheets,TRUE,https://one.tga.com.vn,2.1_verified,,2025-11-23 18:03:00,2025-11-23 18:03:00,"{'csv': 'orders_verified.csv', 'json': 'products_verified.json'}",multiple,Enhanced automation run
2025-11-23 17:59:39,TRUE,0,0,0,verification_test,TRUE,verification_test,2.1_verification,,2025-11-23 17:59:38,2025-11-23 17:59:38,{'verification': 'sheets_verification_complete.json'},multiple,Enhanced automation run
2025-11-23 17:59:28,TRUE,25.6,45,42,google_sheets,TRUE,https://one.tga.com.vn,2.1_verified,,2025-11-23 17:59:28,2025-11-23 17:59:28,"{'csv': 'orders_verified.csv', 'json': 'products_verified.json'}",multiple,Enhanced automation run
2025-11-23 04:15:49,TRUE,61.232496,300,285,google_sheets,TRUE,https://one.tga.com.vn,2.1_complete,,2025-11-23 04:14:47,2025-11-23 04:15:48,"{'orders_csv': 'data/orders_COMPLETE_20251123_041447.csv', 'products_json': 'data/products_COMPLETE_20251123_041447.json', 'summary_excel': 'data/summary_COMPLETE_20251123_041447.xlsx', 'log_file': 'logs/complete_automation_20251123_0414.log'}",multiple,Enhanced automation run
2025-11-23 03:29:08,TRUE,58.449879,300,285,google_sheets,TRUE,https://one.tga.com.vn,2.1_complete,,2025-11-23 03:28:09,2025-11-23 03:29:08,"{'orders_csv': 'data/orders_COMPLETE_20251123_032809.csv', 'products_json': 'data/products_COMPLETE_20251123_032809.json', 'summary_excel': 'data/summary_COMPLETE_20251123_032809.xlsx', 'log_file': 'logs/complete_automation_20251123_0328.log'}",multiple,Enhanced automation run
2025-11-23 03:28:04,TRUE,22.604543,250,240,google_sheets,TRUE,https://one.tga.com.vn,2.1_enhanced,,2025-11-23 03:27:41,2025-11-23 03:28:03,"{'orders_csv': 'data/orders_enhanced.csv', 'products_json': 'data/products_enhanced.json', 'summary_xlsx': 'data/automation_summary.xlsx'}",multiple,Enhanced automation run
2025-11-23 03:27:23,TRUE,12.5,25,23,google_sheets,TRUE,unknown,2.1_verified,,2025-11-23 03:27:23,2025-11-23 03:27:23,{},multiple,Enhanced automation run
2025-11-23 03:26:12,TRUE,57.826323,300,285,google_sheets,TRUE,https://one.tga.com.vn,2.1_complete,,2025-11-23 03:25:14,2025-11-23 03:26:12,"{'orders_csv': 'data/orders_COMPLETE_20251123_032514.csv', 'products_json': 'data/products_COMPLETE_20251123_032514.json', 'summary_excel': 'data/summary_COMPLETE_20251123_032514.xlsx', 'log_file': 'logs/complete_automation_20251123_0325.log'}",multiple,Enhanced automation run
2025-11-23 03:24:57,TRUE,23.022004,250,240,google_sheets,TRUE,https://one.tga.com.vn,2.1_enhanced,,2025-11-23 03:24:34,2025-11-23 03:24:57,"{'orders_csv': 'data/orders_enhanced.csv', 'products_json': 'data/products_enhanced.json', 'summary_xlsx': 'data/automation_summary.xlsx'}",multiple,Enhanced automation run
2025-11-23 03:24:06,TRUE,0,0,0,verification_test,TRUE,verification_test,2.1_verification,,2025-11-23 03:24:06,2025-11-23 03:24:06,{'verification': 'sheets_verification_complete.json'},multiple,Enhanced automation run
2025-11-23 03:23:56,TRUE,25.6,45,42,google_sheets,TRUE,https://one.tga.com.vn,2.1_verified,,2025-11-23 03:23:55,2025-11-23 03:23:55,"{'csv': 'orders_verified.csv', 'json': 'products_verified.json'}",multiple,Enhanced automation run
2025-11-23 03:23:33,TRUE,12.5,25,23,google_sheets,TRUE,unknown,2.1_verified,,2025-11-23 03:23:33,2025-11-23 03:23:33,{},multiple,Enhanced automation run
2025-11-23 03:23:13,TRUE,15.8,35,30,google_sheets,TRUE,unknown,2.1_enhanced,,2025-07-17 14:30:00,2025-07-17 14:45:48,{},multiple,Enhanced automation run
2025-11-23 03:22:01,TRUE,58.23221,300,285,google_sheets,TRUE,https://one.tga.com.vn,2.1_complete,,2025-11-23 03:21:02,2025-11-23 03:22:01,"{'orders_csv': 'data/orders_COMPLETE_20251123_032102.csv', 'products_json': 'data/products_COMPLETE_20251123_032102.json', 'summary_excel': 'data/summary_COMPLETE_20251123_032102.xlsx', 'log_file': 'logs/complete_automation_20251123_0321.log'}",multiple,Enhanced automation run
2025-11-23 03:20:57,TRUE,22.85633,250,240,google_sheets,TRUE,https://one.tga.com.vn,2.1_enhanced,,2025-11-23 03:20:34,2025-11-23 03:20:56,"{'orders_csv': 'data/orders_enhanced.csv', 'products_json': 'data/products_enhanced.json', 'summary_xlsx': 'data/automation_summary.xlsx'}",multiple,Enhanced automation run
2025-11-23 03:20:16,TRUE,12.5,25,23,google_sheets,TRUE,unknown,2.1_verified,,2025-11-23 03:20:15,2025-11-23 03:20:15,{},multiple,Enhanced automation run
2025-11-23 03:17:30,TRUE,15.8,35,30,google_sheets,TRUE,unknown,2.1_enhanced,,2025-07-17 14:30:00,2025-07-17 14:45:48,{},multiple,Enhanced automation run
2025-11-23 00:19:27,TRUE,58.878714,300,285,google_sheets,TRUE,https://one.tga.com.vn,2.1_complete,,2025-11-23 00:18:28,2025-11-23 00:19:27,"{'orders_csv': 'data/orders_COMPLETE_20251123_001828.csv', 'products_json': 'data/products_COMPLETE_20251123_001828.json', 'summary_excel': 'data/summary_COMPLETE_20251123_001828.xlsx', 'log_file': 'logs/complete_automation_20251123_0018.log'}",multiple,Enhanced automation run
2025-11-23 00:15:49,TRUE,58.910902,300,285,google_sheets,TRUE,https://one.tga.com.vn,2.1_complete,,2025-11-23 00:14:49,2025-11-23 00:15:48,"{'orders_csv': 'data/orders_COMPLETE_20251123_001449.csv', 'products_json': 'data/products_COMPLETE_20251123_001449.json', 'summary_excel': 'data/summary_COMPLETE_20251123_001449.xlsx', 'log_file': 'logs/complete_automation_20251123_0014.log'}",multiple,Enhanced automation run
2025-11-23 00:14:43,TRUE,25.111915,250,240,google_sheets,TRUE,https://one.tga.com.vn,2.1_enhanced,,2025-11-23 00:14:18,2025-11-23 00:14:43,"{'orders_csv': 'data/orders_enhanced.csv', 'products_json': 'data/products_enhanced.json', 'summary_xlsx': 'data/automation_summary.xlsx'}",multiple,Enhanced automation run
2025-11-23 00:14:01,TRUE,12.5,25,23,google_sheets,TRUE,unknown,2.1_verified,,2025-11-23 00:14:01,2025-11-23 00:14:01,{},multiple,Enhanced automation run
